model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,impulse_noise,5,N/A,1.14,6.7297455208211,114,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,defocus_blur,1,N/A,52.16,1.7081775906719738,5216,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,defocus_blur,2,N/A,49.58,1.817920960957491,4958,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,defocus_blur,3,N/A,46.27,1.9503778717185878,4627,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,defocus_blur,4,N/A,30.37,2.779953974711744,3037,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,defocus_blur,5,N/A,17.91,3.7234188031546678,1791,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,motion_blur,1,N/A,55.28,1.568782730947567,5528,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,motion_blur,2,N/A,55.08,1.589032093180886,5508,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,motion_blur,3,N/A,53.88,1.6225777155236354,5388,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,motion_blur,4,N/A,52.66,1.6643504613562474,5266,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,motion_blur,5,N/A,51.45,1.7189343654656712,5145,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,zoom_blur,1,N/A,44.2,2.0474212909046607,4420,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,zoom_blur,2,N/A,35.71,2.4800462451162217,3571,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,zoom_blur,3,N/A,20.91,3.453404984896696,2091,10000,2025-09-09 00:35:39
expert_1,multiplicativeAddition,1.0,1,DenseNet121,corruption,N/A,zoom_blur,4,N/A,11.52,4.455726385116577,1152,10000,2025-09-09 00:35:39
