model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,zoom_blur,5,N/A,6.24,5.548752591579775,624,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,snow,1,N/A,38.47,2.320992069908335,3847,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,snow,2,N/A,18.47,3.692862836620476,1847,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,snow,3,N/A,9.46,4.800162330458436,946,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,snow,4,N/A,5.69,5.471049133735367,569,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,snow,5,N/A,3.95,5.80572319634353,395,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,frost,1,N/A,51.32,1.718125101886218,5132,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,frost,2,N/A,42.49,2.11057315898847,4249,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,frost,3,N/A,33.74,2.590828494180607,3374,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,frost,4,N/A,24.9,3.149165292329426,2490,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,frost,5,N/A,17.99,3.6796410445925556,1799,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,fog,1,N/A,48.42,1.871193991431707,4842,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,fog,2,N/A,33.87,2.5640276444109182,3387,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,fog,3,N/A,22.13,3.388258104082904,2213,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,fog,4,N/A,14.8,4.120165468771247,1480,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,fog,5,N/A,9.87,4.749352968191799,987,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,brightness,1,N/A,55.17,1.5767958149125305,5517,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,brightness,2,N/A,54.64,1.5999849944175044,5464,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,brightness,3,N/A,53.74,1.6335911599895623,5374,10000,2025-09-09 00:30:43
